"","time","ISense [mV]","Current [A]","USample [mV]"
"1",3729845124.667,2.584784,0.5169568,0.108908
"2",3729845125.103,2.581131,0.5162262,0.111856
"3",3729845125.54,2.585406,0.5170812,0.11187
"4",3729845125.975,2.584462,0.5168924,0.111635
"5",3729845126.4,2.592577,0.5185154,0.112175
"6",3729845126.834,2.585564,0.5171128,0.111893
"7",3729845127.269,2.597287,0.5194574,0.115159
"8",3729845127.705,2.591288,0.5182576,0.111597
"9",3729845128.14,2.599953,0.5199906,0.113153
"10",3729845128.574,2.58158,0.516316,0.110819
"11",3729845129.008,2.584606,0.5169212,0.110618
"12",3729845129.448,2.593245,0.518649,0.109906
"13",3729845129.883,2.606914,0.5213828,0.112282
"14",3729845130.32,2.608547,0.5217094,0.112851
"15",3729845130.756,2.60788,0.521576,0.117071
"16",3729845131.192,2.598197,0.5196394,0.11293
"17",3729845131.627,2.601371,0.5202742,0.111891
"18",3729845132.064,2.622355,0.524471,0.111837
"19",3729845132.502,2.618589,0.5237178,0.116532
"20",3729845132.938,2.618782,0.5237564,0.11238
"21",3729845133.376,2.631717,0.5263434,0.112722
"22",3729845133.81,2.624932,0.5249864,0.115963
"23",3729845134.243,2.617123,0.5234246,0.116614
"24",3729845134.67,2.626167,0.5252334,0.116305
"25",3729845135.104,2.627473,0.5254946,0.111448
"26",3729845135.541,2.640521,0.5281042,0.111753
"27",3729845135.976,2.641552,0.5283104,0.112438
"28",3729845136.412,2.665488,0.5330976,0.114594
"29",3729845136.847,2.663866,0.5327732,0.118481
"30",3729845137.281,2.67114,0.534228,0.11452
"31",3729845137.717,2.667872,0.5335744,0.117346
"32",3729845138.143,2.671567,0.5343134,0.11565
"33",3729845138.577,2.671667,0.5343334,0.114404
"34",3729845139.012,2.700243,0.5400486,0.114664
"35",3729845139.447,2.724345,0.544869,0.114284
"36",3729845139.885,2.724341,0.5448682,0.115155
"37",3729845140.32,2.744807,0.5489614,0.117402
"38",3729845140.756,2.735893,0.5471786,0.119203
"39",3729845141.192,2.736304,0.5472608,0.118004
"40",3729845141.629,2.732303,0.5464606,0.119015
"41",3729845142.065,2.747411,0.5494822,0.116676
"42",3729845142.501,2.767918,0.5535836,0.121525
"43",3729845142.936,2.776078,0.5552156,0.120301
"44",3729845143.372,2.777824,0.5555648,0.120013
"45",3729845143.807,2.781573,0.5563146,0.118746
"46",3729845144.236,2.790555,0.558111,0.121685
"47",3729845144.671,2.796173,0.5592346,0.121489
"48",3729845145.106,2.825616,0.5651232,0.122793
"49",3729845145.541,2.823811,0.5647622,0.120771
"50",3729845145.973,2.819655,0.563931,0.120551
