Radius [mm],Diameter [mm],Volume [mm³],Voxel,Surface [mm²],Compactness,Sphericity
0.0381,0.0762,1.4e-04,8688,0.0201927,0.62,0.66
0.0407,0.0814,1.4e-04,8705,0.0200624,0.51,0.66
0.0518,0.1036,1.9e-04,11393,0.0302500,0.32,0.53
0.0360,0.0719,9.7e-05,5837,0.0154507,0.50,0.66
0.0320,0.0639,1.0e-04,6307,0.0161802,0.77,0.66
0.0465,0.0931,1.4e-04,8699,0.0214173,0.34,0.62
0.0320,0.0639,1.1e-04,6425,0.0163105,0.78,0.67
0.0467,0.0934,1.6e-04,9801,0.0246221,0.38,0.59
0.0312,0.0625,9.2e-05,5538,0.0147602,0.72,0.67
0.0386,0.0771,1.2e-04,7471,0.0187336,0.52,0.64
0.0373,0.0746,1.1e-04,6616,0.0170270,0.51,0.65
0.0395,0.0790,1.2e-04,7243,0.0185512,0.47,0.64
0.0515,0.1029,1.7e-04,10359,0.0270713,0.30,0.55
0.0340,0.0680,8.5e-05,5094,0.0143433,0.51,0.65
0.0560,0.1120,1.8e-04,10746,0.0262896,0.24,0.58
0.0317,0.0635,9.4e-05,5657,0.0149296,0.70,0.67
0.0328,0.0657,9.0e-05,5408,0.0146560,0.61,0.66
0.0328,0.0656,8.4e-05,5033,0.0139134,0.57,0.66
0.0451,0.0902,1.5e-04,8861,0.0224204,0.38,0.60
0.0337,0.0674,1.0e-04,5989,0.0157764,0.62,0.66
0.0320,0.0640,8.7e-05,5206,0.0143303,0.63,0.66
0.0540,0.1080,1.8e-04,10735,0.0276314,0.27,0.55
0.0400,0.0801,1.3e-04,7801,0.0200103,0.48,0.62
0.0293,0.0585,8.1e-05,4900,0.0136659,0.78,0.66
0.0295,0.0590,8.1e-05,4856,0.0134965,0.75,0.67
0.0356,0.0713,1.0e-04,6168,0.0166101,0.54,0.64
0.0399,0.0797,1.3e-04,7845,0.0204663,0.49,0.61
0.0523,0.1045,1.7e-04,10094,0.0257294,0.28,0.57
0.0319,0.0637,8.4e-05,5061,0.0140828,0.62,0.66
