Diameter [mm],Volume [mm³],Voxel,Surface [mm²],Compactness,Sphericity
0.0129,7.3e-07,60,0.0006356,0.64,0.62
0.0132,8.2e-07,67,0.0006568,0.67,0.64
0.0130,8.0e-07,66,0.0006568,0.70,0.64
0.0130,6.8e-07,56,0.0006144,0.59,0.61
0.0129,6.9e-07,57,0.0006144,0.62,0.62
0.0132,7.8e-07,64,0.0006568,0.64,0.62
0.0129,6.8e-07,56,0.0005932,0.61,0.63
0.0132,7.4e-07,61,0.0006250,0.62,0.64
0.0131,7.8e-07,64,0.0006250,0.67,0.66
0.0132,8.4e-07,69,0.0006674,0.70,0.65
0.0127,7.1e-07,58,0.0005932,0.65,0.65
0.0138,8.4e-07,69,0.0006674,0.61,0.65
0.0129,7.4e-07,61,0.0006250,0.67,0.64
0.0127,6.2e-07,51,0.0005508,0.58,0.64
0.0130,7.4e-07,61,0.0006144,0.65,0.65
0.0126,5.9e-07,48,0.0005297,0.56,0.64
0.0127,6.5e-07,53,0.0005720,0.60,0.63
0.0132,8.2e-07,67,0.0006674,0.67,0.63
0.0131,7.9e-07,65,0.0006356,0.68,0.65
0.0136,8.8e-07,72,0.0006780,0.67,0.65
0.0132,7.2e-07,59,0.0005720,0.59,0.68
0.0130,7.4e-07,61,0.0006144,0.65,0.65
0.0127,6.7e-07,55,0.0005932,0.63,0.62
0.0128,6.8e-07,56,0.0005826,0.62,0.64
0.0135,8.3e-07,68,0.0006568,0.65,0.65
0.0129,6.9e-07,57,0.0006038,0.62,0.63
0.0127,6.5e-07,53,0.0005508,0.60,0.66
0.0127,6.5e-07,53,0.0005720,0.60,0.63
0.0130,8.2e-07,67,0.0006462,0.71,0.65
0.0128,6.3e-07,52,0.0005932,0.58,0.60
0.0123,5.5e-07,45,0.0005191,0.56,0.62
0.0132,7.7e-07,63,0.0006144,0.63,0.66
0.0132,7.3e-07,60,0.0005932,0.60,0.66
0.0132,7.8e-07,64,0.0006144,0.64,0.67
0.0130,7.2e-07,59,0.0005720,0.63,0.68
0.0137,8.5e-07,70,0.0006568,0.63,0.66
0.0125,6.0e-07,49,0.0005508,0.59,0.62
0.0125,6.2e-07,51,0.0005297,0.61,0.67
0.0129,6.8e-07,56,0.0005720,0.61,0.66
0.0132,8.2e-07,67,0.0006462,0.68,0.65
0.0183,1.0e-06,82,0.0007839,0.31,0.62
0.0130,7.4e-07,61,0.0006144,0.65,0.65
0.0128,6.7e-07,55,0.0005508,0.61,0.67
0.0132,8.3e-07,68,0.0006356,0.69,0.67
0.0120,5.7e-07,47,0.0004767,0.63,0.70
0.0127,6.0e-07,49,0.0005402,0.56,0.63
0.0129,6.5e-07,53,0.0005614,0.58,0.64
0.0131,6.8e-07,56,0.0005720,0.58,0.66
0.0143,9.3e-07,76,0.0006674,0.61,0.69
0.0128,6.8e-07,56,0.0005932,0.62,0.63
0.0126,6.2e-07,51,0.0005720,0.60,0.62
0.0132,6.8e-07,56,0.0005826,0.57,0.64
0.0132,8.8e-07,72,0.0006462,0.73,0.69
0.0127,6.2e-07,51,0.0005614,0.58,0.63
0.0134,7.1e-07,58,0.0006038,0.57,0.64
0.0132,8.8e-07,72,0.0006674,0.73,0.66
0.0129,6.9e-07,57,0.0005508,0.62,0.69
0.0124,6.1e-07,50,0.0005191,0.61,0.67
0.0659,2.4e-05,1997,0.0079447,0.16,0.51
0.0127,6.5e-07,53,0.0005402,0.60,0.67
0.0117,5.2e-07,43,0.0004767,0.62,0.66
0.0138,8.5e-07,70,0.0006568,0.62,0.66
0.0122,6.0e-07,49,0.0005085,0.62,0.67
0.0122,5.2e-07,43,0.0004661,0.56,0.67
0.0122,5.7e-07,47,0.0004979,0.60,0.67
0.0132,7.8e-07,64,0.0006038,0.64,0.68
0.0129,6.8e-07,56,0.0005720,0.61,0.66
0.0123,5.6e-07,46,0.0005085,0.58,0.65
0.0126,6.0e-07,49,0.0005720,0.57,0.60
0.0124,5.9e-07,48,0.0005191,0.58,0.65
0.0128,6.8e-07,56,0.0005508,0.63,0.68
0.0122,5.5e-07,45,0.0004979,0.58,0.65
0.0124,6.2e-07,51,0.0005402,0.62,0.65
0.0129,7.3e-07,60,0.0005826,0.66,0.67
0.0148,9.6e-07,79,0.0006991,0.57,0.67
0.0125,6.5e-07,53,0.0005296,0.63,0.68
0.0120,5.2e-07,43,0.0004555,0.58,0.69
0.0137,8.5e-07,70,0.0006462,0.63,0.67
0.0133,7.6e-07,62,0.0006038,0.61,0.66
0.0129,7.6e-07,62,0.0005826,0.68,0.69
0.0121,6.0e-07,49,0.0004873,0.65,0.70
0.0132,7.3e-07,60,0.0006038,0.60,0.65
0.0137,7.9e-07,65,0.0006356,0.58,0.65
0.0126,5.4e-07,44,0.0004873,0.51,0.66
0.0116,5.1e-07,42,0.0004449,0.63,0.70
0.0124,5.2e-07,43,0.0005191,0.53,0.61
0.0128,6.1e-07,50,0.0005296,0.56,0.66
0.0133,7.4e-07,61,0.0005932,0.60,0.67
0.0125,6.1e-07,50,0.0005296,0.60,0.66
0.0130,7.1e-07,58,0.0006038,0.61,0.64
0.0126,6.7e-07,55,0.0005402,0.64,0.69
0.0124,5.6e-07,46,0.0005296,0.56,0.62
0.0129,7.4e-07,61,0.0006356,0.66,0.62
0.0122,5.6e-07,46,0.0004979,0.59,0.66
0.0133,6.8e-07,56,0.0005932,0.55,0.63
0.0125,6.2e-07,51,0.0005191,0.61,0.68
0.0132,8.0e-07,66,0.0006250,0.66,0.67
0.0139,8.7e-07,71,0.0006674,0.61,0.66
0.0132,7.3e-07,60,0.0005932,0.61,0.66
0.0144,8.0e-07,66,0.0006568,0.51,0.64
0.0126,6.6e-07,54,0.0005297,0.63,0.69
0.0126,6.1e-07,50,0.0005191,0.58,0.67
0.0121,5.0e-07,41,0.0004767,0.54,0.64
0.0126,6.2e-07,51,0.0005296,0.59,0.67
0.0120,5.5e-07,45,0.0004767,0.61,0.68
0.0124,5.2e-07,43,0.0005085,0.52,0.62
0.0118,4.9e-07,40,0.0004661,0.56,0.64
0.0127,6.6e-07,54,0.0005191,0.61,0.70
0.0124,5.4e-07,44,0.0005085,0.53,0.63
0.0128,6.9e-07,57,0.0005614,0.63,0.68
0.0124,5.6e-07,46,0.0004979,0.56,0.66
0.0143,9.4e-07,77,0.0006779,0.62,0.68
0.0126,5.5e-07,45,0.0004979,0.52,0.65
0.0120,5.5e-07,45,0.0004873,0.61,0.67
0.0121,6.0e-07,49,0.0004979,0.65,0.69
0.0121,6.0e-07,49,0.0004979,0.65,0.69
0.0132,7.3e-07,60,0.0006038,0.60,0.65
0.0127,6.1e-07,50,0.0005402,0.57,0.64
0.0129,6.9e-07,57,0.0005720,0.61,0.66
0.0133,7.1e-07,58,0.0005720,0.57,0.67
0.0128,6.6e-07,54,0.0005614,0.60,0.65
0.0126,6.0e-07,49,0.0005085,0.57,0.67
0.0132,8.3e-07,68,0.0006462,0.69,0.66
0.0125,6.1e-07,50,0.0005296,0.59,0.66
0.0124,6.1e-07,50,0.0005085,0.62,0.68
0.0121,5.1e-07,42,0.0004767,0.55,0.65
0.0134,6.8e-07,56,0.0006038,0.54,0.62
0.0126,6.3e-07,52,0.0005296,0.60,0.67
0.0137,8.3e-07,68,0.0006462,0.62,0.66
0.0122,6.0e-07,49,0.0005085,0.62,0.67
0.0124,5.9e-07,48,0.0005191,0.59,0.65
0.0151,9.5e-07,78,0.0006885,0.53,0.68
0.0121,6.0e-07,49,0.0004873,0.65,0.70
0.0133,7.2e-07,59,0.0005720,0.58,0.68
0.0139,7.9e-07,65,0.0006356,0.56,0.65
0.0126,6.7e-07,55,0.0005508,0.64,0.67
0.0120,5.6e-07,46,0.0004767,0.62,0.69
0.0136,6.9e-07,57,0.0005508,0.53,0.69
0.0129,6.7e-07,55,0.0005402,0.60,0.69
0.0133,7.7e-07,63,0.0005826,0.62,0.70
0.0149,8.0e-07,66,0.0006568,0.47,0.64
0.0127,6.6e-07,54,0.0005402,0.62,0.68
0.0132,7.4e-07,61,0.0006250,0.61,0.64
0.0139,8.9e-07,73,0.0006462,0.64,0.69
0.0153,1.1e-06,87,0.0007521,0.57,0.67
0.0124,6.2e-07,51,0.0005191,0.63,0.68
0.0120,5.9e-07,48,0.0004979,0.64,0.68
0.0127,5.9e-07,48,0.0005297,0.55,0.64
0.0127,6.5e-07,53,0.0005508,0.61,0.66
0.0129,6.1e-07,50,0.0005191,0.55,0.67
0.0120,5.6e-07,46,0.0004767,0.61,0.69
0.0157,1.0e-06,84,0.0007733,0.51,0.64
0.0122,5.5e-07,45,0.0004873,0.57,0.67
0.0134,6.5e-07,53,0.0005508,0.51,0.66
0.0132,8.4e-07,69,0.0006674,0.70,0.65
0.0141,7.6e-07,62,0.0006144,0.52,0.65
0.0120,5.5e-07,45,0.0004661,0.61,0.70
0.0128,6.7e-07,55,0.0005402,0.61,0.69
0.0124,6.0e-07,49,0.0005191,0.60,0.66
0.0121,4.9e-07,40,0.0004767,0.53,0.63
0.0126,5.9e-07,48,0.0004979,0.56,0.68
0.0126,6.2e-07,51,0.0005402,0.59,0.65
0.0131,6.6e-07,54,0.0005508,0.56,0.66
0.0117,5.1e-07,42,0.0004661,0.61,0.66
0.0120,5.6e-07,46,0.0004767,0.62,0.69
0.0121,6.1e-07,50,0.0004979,0.66,0.70
0.0134,6.8e-07,56,0.0005826,0.54,0.64
0.0130,7.1e-07,58,0.0005826,0.62,0.66
0.0124,5.1e-07,42,0.0004873,0.51,0.64
0.0148,9.1e-07,75,0.0006991,0.54,0.65
0.0143,7.3e-07,60,0.0005826,0.48,0.67
0.0129,6.9e-07,57,0.0005614,0.62,0.68
0.0125,6.5e-07,53,0.0005402,0.63,0.67
0.0124,4.9e-07,40,0.0004555,0.48,0.66
0.0118,5.2e-07,43,0.0004661,0.61,0.67
0.0126,6.6e-07,54,0.0005402,0.63,0.68
0.0122,6.0e-07,49,0.0005085,0.62,0.67
0.0138,8.2e-07,67,0.0006462,0.59,0.65
0.0151,9.5e-07,78,0.0007097,0.53,0.66
0.0127,6.3e-07,52,0.0005296,0.59,0.67
0.0130,6.8e-07,56,0.0005932,0.59,0.63
0.0124,5.2e-07,43,0.0005085,0.53,0.62
0.0121,5.1e-07,42,0.0004767,0.55,0.65
0.0148,8.4e-07,69,0.0006674,0.50,0.65
0.0120,5.2e-07,43,0.0004555,0.58,0.69
0.0120,5.4e-07,44,0.0004661,0.59,0.68
0.0120,5.6e-07,46,0.0004873,0.62,0.67
0.0120,5.1e-07,42,0.0004661,0.56,0.66
0.0122,4.8e-07,39,0.0004661,0.50,0.63
0.0128,6.1e-07,50,0.0005191,0.56,0.67
0.0121,6.0e-07,49,0.0004873,0.65,0.70
0.0121,5.1e-07,42,0.0005085,0.55,0.61
0.0126,6.1e-07,50,0.0004979,0.58,0.70
0.0129,6.7e-07,55,0.0005402,0.60,0.69
0.0117,5.2e-07,43,0.0004767,0.62,0.66
0.0132,6.3e-07,52,0.0005402,0.52,0.66
0.0122,4.8e-07,39,0.0004555,0.50,0.65
0.0132,7.1e-07,58,0.0005720,0.59,0.67
0.0126,5.0e-07,41,0.0004661,0.48,0.65
0.0123,5.9e-07,48,0.0005085,0.60,0.67
0.0120,4.8e-07,39,0.0004555,0.53,0.65
0.0126,6.8e-07,56,0.0005402,0.65,0.69
0.0128,6.6e-07,54,0.0005191,0.60,0.71
0.0118,5.0e-07,41,0.0004555,0.57,0.67
0.0122,4.9e-07,40,0.0004555,0.52,0.66
0.0142,9.1e-07,75,0.0006779,0.61,0.67
0.0153,9.0e-07,74,0.0006780,0.48,0.67
0.0120,5.4e-07,44,0.0004767,0.60,0.67
0.0132,6.7e-07,55,0.0005402,0.56,0.69
